,Reviews
19614,"
It always feels like walking on pillows. The fit as others say, may be a tad snug, but that works for me. Very comfy.
"
19615,"
Good product
"
19616,"
Cool looking shoe But runs about 1/2 size small.
"
19617,"
The sneakers are very comfortable, great for everyday use.
"
19618,"
Nice
"
19619,"
Shoes fit great and looked awesome
"
19620,"
Son cómodas quedan bien para toda ocacion
"
19621,"
Very comfortable shoes!!
"
19622,"
I'm glad I brought it
"
19623,"
Nice and clean and very comfortable
"
19624,"
I bought them for a gift.
"
19625,"
Repeat customer!
"
19626,"
These sneakers wow me they feel so comfortable and great fit. I got this for 40 bucks and im sure thsts isn't going to last at that price. Look to pay more for sure. The insole is soft and cush. Love these Puma shoes. They hit a homerun on this one
"
19627,"
Not good
"
19628,"
Perfect style and size.
"
19629,"
Nice shoes
"
19630,"
I was very happy with my order my husband loved them
"
19631,"
Great product
"
19632,"
Fits like a sleeve or glove for your feet. It's almost like a hard shell for your feet! Some of the most comfortable shoes I've ever had.
"
19633,"
Fits as expected. DISREGARD others’ reviews that they run small. I learned that lesson for you. Either way- 100% satisfied with the comfort, look, and quality.
"
19634,"
EXCELENTE COMPRA!!
"
19635,"
My husband needed more support and these were perfect he's already noticed difference. The unique lace style actually helps alot too!!
"
19636,"
Great quality and comfort
"
19637,"
I got these for the look, which is slightly different when you actually put them on (top view), but the room in them, and the cushioning is lights out. Easily the most comfortable shoe i own. This is an awesome pick up.
"
19638,"
I get compliments every where I go.
"
19639,"
I bought different style of these shoes before. They are very comfortable and breath well.
"
19640,"
The shoes were pretty much what I expected. They fit fine and are comfortable.
"
19641,"
Puma has variations of this same style, and I have one other pair that is somewhat similar. To me this is the best look they have achieved with this style. I love the silver accents and the silver PUMA name on the back, and the perforations.The fit, comfort and quality are all 5 star as usual, and the price just simply can't be beat for a pair of shoes of this quality.
"
19642,"
Very comfortable and just the right arch leverage .
"
19643,"
Just what was advertised... Fits great - use for working out
"
19644,"
First of all they arrived early second of all I got them on sale for $37.50. They have memory foam bottoms so every time I walk my foot sinks in, and are so comfortable. Great look too.
"
19645,"
Very comfortable
"
19646,"
I buy them again.
"
19647,"
These shoes are comfortable and they look great!
"
19648,"
Shoes fit true to size and the memory foam is like walking on a cloud. This was my first pair of Puma's but won't be my last. Highly recommend.
"
19649,"
The quality of the material used to make Puma sneakers is much like the material used on high end sneakers back in the day...Jordans not Yeezies. The shoe is extremely comfortable and the fit is spot on.
"
19650,"
The quality of the material used to make Puma sneakers is much like the material used on high end sneakers back in the day...Jordans not Yeezies. The shoe is extremely comfortable and the fit is spot on.
"
19651,"
The sole of the shoe is very thin, it looks like the shoe won’t get much life out of it if you’re rough on your feet. Very comfortable as it has memory foam inside. Nice looking shoe and love the colors
"
19652,"
My husband absolutely LOVES this sneaker. It fits well, it's extremely comfortable and stylish. The shoes were well packaged and arrived in excellent condition. The shoe cost much less than another popular brand, yet looks just as good. FYI....they are much more comfortable than that other overpriced brand as well according to my husband.
"
19653,"
I love these shoes! They have a soft gel bottom and the mesh gently wraps around your feet. I like them so much I bought a second pair.
"
19654,"
I’ve been use to uncomfortable shoes from a other famous brand, these are comfortable, fit well for running and work out and look great for any occasion.
"
19655,"
Comfort to the max.  Fit is perfect and they look great. So nice i don’t want to work out in them!!!! But the have great support.
"
19656,"
They fit and seem comfortable
"
19657,"
My boyfriend loved them
"
19658,
19659,"
Muy cómodos, llegaron perfectamente.
"
19660,"
Exelente
"
19661,"
Muy bien
"
19662,"
Tardaron un poco en llegar pero valió la pena
"
19663,"
No me gusto donde cierra la agujeta pues lastima un poco el tobillo
"
19664,"
Love these shoes. Recommend for sure.  Comfortable fit.
"
19665,"
Muy bueno producto
"
19666,"
Most comfortable shoe I've ever owned.  Didn't expect this from online shopping but pleasantly surprised.The picture matched the product as well.  No colour hues off at all.
"
19667,"
excellent fitting and good quality
"
19668,"
No son tan estilisados como parecen y me quedaron como medio número grandes pese a ya tener experiencia con la marca puma en otros modelos y eso no me había sucedió por lo demás es la calidad esperada
"
19669,"
Muy recomendable el producto, la calidad de Puma siempre excelente
"
19670,"
good product
"
19671,"
Me gustó su diseño, es modelo Nuevo, son de piel, Super cómodos, en mi trabajo les gustan mucho, el precio es muy bueno también,Gracias !!
"
19672,"
Al momento de jalar la agujeta para que me quedaran justos de trono.Al llevarlo a la reparadora de calzado me enseñaron que ya lo habían metido a la máquina de coser y al momento de coserlo casi se truena la aguja porque también le habían puesto kola loka (pegamento transparente).
"
19673,"
Me encantan estos tenis, es el segundo par que pido, siempre llegan un poco antes de la fecha especificada y son muy comodos! Totalmente recomendables!!!
"
19674,"
Me gusto que no son de tela y eso facilita su limpieza
"
19675,"
Los tenis están excelentes
"
19676,"
Non ce niente da dire, Puma è sempre una garanzia, scarpe bellissime e comode fanno la sua bella figura con la sua forma che si distingue dalle altre scarpe anche di marca. Parecchie persone mi chiedono dove le ho comprate.Un consiglio che posso dare è di tenere i lacci larghi in modo da allentare i due lati della scarpa rendendolo così la scarpa più comoda altrimenti in caso contrario potrebbe farvi male il piede.
"
19677,"
Los compré para mí papá, le encantaron bastante cómodos y muy bonitos
"
19678,"
Los uso para descansar y usar con ropa casual
"
19679,"
excellent produit
"
19680,"
Comodos
"
19681,"
Excelentes
"
19682,"
Excelente calidad, originales y como se ven en la imagen, muy comodos. Los recomiendo
"
19683,"
todo como esperaba
"
19684,"
Awesome sneakers. Very comfortable
"
19685,"
fit perfect and look awesome
"
19686,"
La calidad no es buena
"
19687,"
ME GUSTO EL PRODUCTO MUY COMODO Y LA ENTREGA RAPIDA Y SEGURAGRACIAS
"
19688,"
I loved these shoes and was so looking forward to wearing them. Needless to say, I wore them only once and they totally destroyed my feet. The Achilles notch cut into both my Achilles’ tendons after just one stroll. They are made really hard and since the shoes that I got were made smaller than what I usually wear, they cut up my Achilles’ tendons, leaving my shoes bloody and my Achilles’ tendons severely damaged to the point that I could not wear socks or shoes for three weeks. I highly recommend getting a larger size
"
19689,
19690,"
Ninguna
"
19691,"
They are beautiful! Love them. I wasn't expecting them till next week on Tuesday.  They got here early. Thanks
"
19692,"
You cant remove the insoles when they wear out so that means perfectly good shoes are no longer useable.
"
19693,"
Muy cómodos y muy bien presentados
"
19694,"
Great shoes and awesome quality
"
19695,"
Great true to size and arrived when they said they would.
"
19696,"
The look is great but it fits too tight had to look at the size ticket to make sure it says the right size.  Not sure what’s diff from this one and the kind I buy at a big box store ??
"
19697,"
Very comfortable
"
19698,"
Shoes arrived pretty quickly with no issues. I rarely wear white now, but I had to get these for xmas. Perfect for heading out for a nice cocktail!
"
19699,"
For $75, I expect leather uppers, not rubberLook like crap after a few days
"
19700,
19701,"
They are beautiful! Love them. I wasn't expecting them till next week on Tuesday.  They got here early. Thanks
"
19702,"
You cant remove the insoles when they wear out so that means perfectly good shoes are no longer useable.
"
19703,"
Muy cómodos y muy bien presentados
"
19704,"
Great shoes and awesome quality
"
19705,"
Great true to size and arrived when they said they would.
"
19706,"
The look is great but it fits too tight had to look at the size ticket to make sure it says the right size.  Not sure what’s diff from this one and the kind I buy at a big box store ??
"
19707,"
Very comfortable
"
19708,"
Shoes arrived pretty quickly with no issues. I rarely wear white now, but I had to get these for xmas. Perfect for heading out for a nice cocktail!
"
19709,"
For $75, I expect leather uppers, not rubberLook like crap after a few days
"
19710,
19711,"
It’s qualityReal high class
"
19712,"
LOVE THEM
"
19713,"
I disliked nothing at all. Loved how everything was on time
"
19714,"
Very comfortable and well made shoes.
"
19715,"
I love these! They are my first ever pair and now I've got 4 four on my list to get, these are seriously the most comfortable shoes ever. I use them for the gym and there's extra cushioning inside that threw me off at first but it's actually really comfortable to wear. Feels like a high quality luxury shoe and it looks like one. Can't be happier for the price and shipping speed. Thanks Puma, and Amazon I guess, but mostly Puma ;) but in all realness, you should get a pair, you won't be disappointed.
"
19716,"
I alternate between Puma and Adidas. These runners are a good fit, stylish and affordable. I am using these on threadmill only and a week in they are fitting right and providing good support.
"
19717,"
Speedy delivery  proper size comfortable great looking shoe
"
19718,"
Fits perfect, looks amazing
"
19719,"
Comfortable with good value for the price.
"
19720,"
These came directly from the puma store so I didn’t have to worry about fakes and I always order from Amazon Prime . First , I would say make sure if you have wide feet , purchase the Wide size as these shoes are very narrow. I have ordered the regular ones before and they are not as comfortable as the wide , but still wearable. I moved Nikes to puma and find they look allot better .
"
19721,"
I would buy them again
"
19722,"
Great shoes for cross training. Snug at first during runs but after adjusting laces works great!!
"
19723,"
It was for a gift an he loves it so much
"
19724,"
Love everything about them....very cool looking shoe. Very comfy.
"
19725,"
Very happy.  Fits my husband as expected.  He likes them very much and woudl recommend
"
19726,"
No problem with the shoes. I think I just might be a 12.5 I guess. I feel a 12 would be right but the 13 is slightly too big. But that’s my own problem, not the shoe
"
19727,"
Happy with my purchase
"
19728,"
Awesome
"
19729,"
buen producto
"
19730,"
Nice shoe. Did as expectedLet’s see how long they last.
"
19731,"
Fits great and good looking shoes. Highly recommended…
"
19732,"
This is a Puma beauty!! Fits well.
"
19733,"
Awesome
"
19734,"
Buenos
"
19735,"
Me gusto
"
19736,"
Looks great
"
19737,"
love the running shoes, excellent
"
19738,"
THEY WERE NICE AND SOFT
"
19739,"
Very comfortable and fit great.
"
19740,"
These are awesome and comfortable
"
19741,"
Item started to unstich on the left side of sneaker
"
19742,"
Me gustó mucho el modelo y la comodidad
"
19743,"
I like the quality  overall design
"
19744,"
These shoes are great for running and very comfortable! I happy with my purchase and feel like I got a great deal. I use these shoes when I go to the gym and they are well fitted soft and very durable. Great product from Puma!
"
19745,"
Worst shoe ever. The orthotic has a very thick pad under the front of the foot making the shoe an empty shell if you try to replace her orthotic since there is no suck orthotic like it anywhere. Absolutely the worst designed sneaker ever. Do not ever buy this shoe. Puma customer service is the absolute worst. You can only email them and then they email back and say no to everything.
"
19746,"
Stitching coming loose after wearing twice.  Just walking not exerciser.
"
19747,"
Fast delivery and easy to work with
"
19748,"
Comfortable and great looking too
"
19749,"




                    The media could not be loaded.
                



 Like everything
"
19750,"
My husband loves them. Thanked me over and over for gifting him these. He’s very active always working out, running so on and so forth. So it was incredibly important for him to have shoes that are compatible with his lifestyle. These are great.
"
19751,
19752,"
My husband absolutely LOVES these!
"
19753,"
Purchase PUMA Men's Viz Runner Cross-trainer and enjoy the crosstrainer shoe. I would recommend this shoe very nice and comfortable and durable
"
19754,"
i only by puma because of fit and comfort this style of pumas are no different. fit fine right out of the box.
"
19755,"
Very comfortable fit ... very sporty looking.
"
19756,"
Stylischer Sneaker, gute Passform
"
19757,
19758,"
Ne absolute Frechheit solche Schuhe zum Vollen Preis zu versenden. Definitiv sind diese Schuhe nicht neu und schon getragen. Nicht mal einen Stern wert. Schuhe sind beschädigt. Gehen somit zurück. Dazu noch 20€ Rücksendekosten . Für mich absoluter Betrug.
"
19759,"
Buen producto
"
19760,"
Nice product
"
19761,"
They are beautiful! Love them. I wasn't expecting them till next week on Tuesday.  They got here early. Thanks
"
19762,"
You cant remove the insoles when they wear out so that means perfectly good shoes are no longer useable.
"
19763,"
Muy cómodos y muy bien presentados
"
19764,"
Great shoes and awesome quality
"
19765,"
Great true to size and arrived when they said they would.
"
19766,"
The look is great but it fits too tight had to look at the size ticket to make sure it says the right size.  Not sure what’s diff from this one and the kind I buy at a big box store ??
"
19767,"
Very comfortable
"
19768,"
Shoes arrived pretty quickly with no issues. I rarely wear white now, but I had to get these for xmas. Perfect for heading out for a nice cocktail!
"
19769,"
For $75, I expect leather uppers, not rubberLook like crap after a few days
"
19770,
19771,"
They are beautiful! Love them. I wasn't expecting them till next week on Tuesday.  They got here early. Thanks
"
19772,"
You cant remove the insoles when they wear out so that means perfectly good shoes are no longer useable.
"
19773,"
Muy cómodos y muy bien presentados
"
19774,"
Great shoes and awesome quality
"
19775,"
Great true to size and arrived when they said they would.
"
19776,"
The look is great but it fits too tight had to look at the size ticket to make sure it says the right size.  Not sure what’s diff from this one and the kind I buy at a big box store ??
"
19777,"
Very comfortable
"
19778,"
Shoes arrived pretty quickly with no issues. I rarely wear white now, but I had to get these for xmas. Perfect for heading out for a nice cocktail!
"
19779,"
For $75, I expect leather uppers, not rubberLook like crap after a few days
"
19780,
19781,"
It’s qualityReal high class
"
19782,"
LOVE THEM
"
19783,"
I disliked nothing at all. Loved how everything was on time
"
19784,"
Very comfortable and well made shoes.
"
19785,"
I love these! They are my first ever pair and now I've got 4 four on my list to get, these are seriously the most comfortable shoes ever. I use them for the gym and there's extra cushioning inside that threw me off at first but it's actually really comfortable to wear. Feels like a high quality luxury shoe and it looks like one. Can't be happier for the price and shipping speed. Thanks Puma, and Amazon I guess, but mostly Puma ;) but in all realness, you should get a pair, you won't be disappointed.
"
19786,"
I alternate between Puma and Adidas. These runners are a good fit, stylish and affordable. I am using these on threadmill only and a week in they are fitting right and providing good support.
"
19787,"
Speedy delivery  proper size comfortable great looking shoe
"
19788,"
Fits perfect, looks amazing
"
19789,"
Comfortable with good value for the price.
"
19790,"
These came directly from the puma store so I didn’t have to worry about fakes and I always order from Amazon Prime . First , I would say make sure if you have wide feet , purchase the Wide size as these shoes are very narrow. I have ordered the regular ones before and they are not as comfortable as the wide , but still wearable. I moved Nikes to puma and find they look allot better .
"
19791,"
I would buy them again
"
19792,"
Great shoes for cross training. Snug at first during runs but after adjusting laces works great!!
"
19793,"
It was for a gift an he loves it so much
"
19794,"
Love everything about them....very cool looking shoe. Very comfy.
"
19795,"
Very happy.  Fits my husband as expected.  He likes them very much and woudl recommend
"
19796,"
No problem with the shoes. I think I just might be a 12.5 I guess. I feel a 12 would be right but the 13 is slightly too big. But that’s my own problem, not the shoe
"
19797,"
Happy with my purchase
"
19798,"
Awesome
"
19799,"
buen producto
"
19800,"
Nice shoe. Did as expectedLet’s see how long they last.
"
19801,"
Fits great and good looking shoes. Highly recommended…
"
19802,"
This is a Puma beauty!! Fits well.
"
19803,"
Awesome
"
19804,"
Buenos
"
19805,"
Me gusto
"
19806,"
Looks great
"
19807,"
love the running shoes, excellent
"
19808,"
THEY WERE NICE AND SOFT
"
19809,"
Very comfortable and fit great.
"
19810,"
These are awesome and comfortable
"
19811,"
Item started to unstich on the left side of sneaker
"
19812,"
Me gustó mucho el modelo y la comodidad
"
19813,"
I like the quality  overall design
"
19814,"
These shoes are great for running and very comfortable! I happy with my purchase and feel like I got a great deal. I use these shoes when I go to the gym and they are well fitted soft and very durable. Great product from Puma!
"
19815,"
Worst shoe ever. The orthotic has a very thick pad under the front of the foot making the shoe an empty shell if you try to replace her orthotic since there is no suck orthotic like it anywhere. Absolutely the worst designed sneaker ever. Do not ever buy this shoe. Puma customer service is the absolute worst. You can only email them and then they email back and say no to everything.
"
19816,"
Stitching coming loose after wearing twice.  Just walking not exerciser.
"
19817,"
Fast delivery and easy to work with
"
19818,"
Comfortable and great looking too
"
19819,"




                    The media could not be loaded.
                



 Like everything
"
19820,"
My husband loves them. Thanked me over and over for gifting him these. He’s very active always working out, running so on and so forth. So it was incredibly important for him to have shoes that are compatible with his lifestyle. These are great.
"
19821,
19822,"
My husband absolutely LOVES these!
"
19823,"
Purchase PUMA Men's Viz Runner Cross-trainer and enjoy the crosstrainer shoe. I would recommend this shoe very nice and comfortable and durable
"
19824,"
i only by puma because of fit and comfort this style of pumas are no different. fit fine right out of the box.
"
19825,"
Very comfortable fit ... very sporty looking.
"
19826,"
Stylischer Sneaker, gute Passform
"
19827,
19828,"
Ne absolute Frechheit solche Schuhe zum Vollen Preis zu versenden. Definitiv sind diese Schuhe nicht neu und schon getragen. Nicht mal einen Stern wert. Schuhe sind beschädigt. Gehen somit zurück. Dazu noch 20€ Rücksendekosten . Für mich absoluter Betrug.
"
19829,"
Buen producto
"
19830,"
Nice product
"
19831,"
Shoes fit great (larger than posted size, you will need 1/2 size smaller), are 100% water proof, feel great, and the lace-less locking system works perfect. Played 5 rounds with them so far.
"
19832,"
What a nice way to tighten your shoes!  Works great.  Shoes are good-looking, comfortable, and easy to put on and tighten.
"
19833,"
Disc to tighten
"
19834,"
Very nice product that fits well and seems very durable. Played in the rain the first time I wore them and they're very waterproof.
"
19835,"
Great golf shoe. I like the boa disc system and walked 18 holes with no pain in my feet. My only gripe is that it runs a bit too large. I am a true size 10 and should have ordered a half size down like the other reviewers said. Otherwise, this is a good looking and very comfortable shoe!
"
19836,"
Love the dial closure - might be a 1/2 size bigger than expected but great looking and stable.
"
19837,"
So far, I wore them for 5 golf holes and practice at the range beforehand. They are comfortable but I did not want to chance walking 18 in a brand new pair. They are very stylish and love the color scheme. They are not as soft as a new pair of Skechers so that’s why I changed them after 5 holes. The stiffness they have will need a little breaking in.
"
19838,"
Have to wear a lift in my right shoe and this shoe is deep enough in the heel that I don’t feel myself walking out of it.Only issue and I still give it 5 stars, due to this rarity. I had read if water gets in the shoe, then your foot will stay wet all round.  Was in a deluge downpour yesterday and that is true.  In fact I felt I’d let the inside of the shoe dry out more today …even after using a shoe dryer and stuffing towels in overnight.  I don’t ever look to play in rain, and this rain was the most I’ve ever been caught in on a course…but zero issue walking on a dewy morning in terms of water getting in….That being said, I ordered another pair that is how much I love these shoes!!
"
19839,"
Buen diseño
"
19840,"
Saw something like this at my local footlocker and wanted one. I don't play an ounce of golf.They're very quick to slip on, and the clicking it makes when you tighten the 'laces' definitely grabs people's attention. It can be slightly annoying in quiet places though. They are snug, but it somehow still felt a bit loose (when they actually weren't, maybe that's how gold shoes are idk). I would def recommend this to people.
"
19841,"
Shoes fit great (larger than posted size, you will need 1/2 size smaller), are 100% water proof, feel great, and the lace-less locking system works perfect. Played 5 rounds with them so far.
"
19842,"
What a nice way to tighten your shoes!  Works great.  Shoes are good-looking, comfortable, and easy to put on and tighten.
"
19843,"
Disc to tighten
"
19844,"
Very nice product that fits well and seems very durable. Played in the rain the first time I wore them and they're very waterproof.
"
19845,"
Great golf shoe. I like the boa disc system and walked 18 holes with no pain in my feet. My only gripe is that it runs a bit too large. I am a true size 10 and should have ordered a half size down like the other reviewers said. Otherwise, this is a good looking and very comfortable shoe!
"
19846,"
Love the dial closure - might be a 1/2 size bigger than expected but great looking and stable.
"
19847,"
So far, I wore them for 5 golf holes and practice at the range beforehand. They are comfortable but I did not want to chance walking 18 in a brand new pair. They are very stylish and love the color scheme. They are not as soft as a new pair of Skechers so that’s why I changed them after 5 holes. The stiffness they have will need a little breaking in.
"
19848,"
Have to wear a lift in my right shoe and this shoe is deep enough in the heel that I don’t feel myself walking out of it.Only issue and I still give it 5 stars, due to this rarity. I had read if water gets in the shoe, then your foot will stay wet all round.  Was in a deluge downpour yesterday and that is true.  In fact I felt I’d let the inside of the shoe dry out more today …even after using a shoe dryer and stuffing towels in overnight.  I don’t ever look to play in rain, and this rain was the most I’ve ever been caught in on a course…but zero issue walking on a dewy morning in terms of water getting in….That being said, I ordered another pair that is how much I love these shoes!!
"
19849,"
Buen diseño
"
19850,"
Saw something like this at my local footlocker and wanted one. I don't play an ounce of golf.They're very quick to slip on, and the clicking it makes when you tighten the 'laces' definitely grabs people's attention. It can be slightly annoying in quiet places though. They are snug, but it somehow still felt a bit loose (when they actually weren't, maybe that's how gold shoes are idk). I would def recommend this to people.
"
19851,"
The golf shoes were delivered promptly.  My 4th pair of these exact Puma shoes.  They fit perfectly, I love the disc to tighten versus a tie method and the comfort is unsurpassed in golf shoes!!!  After about 1.5 years, the back of the shoe inside starts to wear.  I just order another pair when this happens.
"
19852,"
These golf shoes are comfortable, easy to put on & (so far) waterproof!
"
19853,"
I bought these for my husband because he wanted some driving shoes. These come super close to driving shoes and he loves them. So comfortable that he wears them for more than just driving and now I have to order another pair.
"
19854,"
I love the look and fit of this golf shoe. And I love the new tie system that works with a twist of the hand.
"
19855,"
Great fit. Finding cleaning fabric is not so easy
"
19856,"
Most comfortable golf shoes I’ve ever owned!!
"
19857,"
The gold lettering on the back of the shoe is coming off, came out of the box like that.  Shoe seems comfortable so far after if wearing them around the house for a bit.
"
19858,"
I was not sure buying these without trying them on and I was wondering how they will fit or if I'm even have slightly wide feed.  I got the regular size 10's and went to practice in them and they were perfect.  They felt great, they felt solid when I was hitting the ball and love the fact that I don't have laces to bug me while playing.
"
19859,"
The shoes look great and held up great under a 300lb man.  Good product and the size was exact.
"
19860,"
Easy to keep clean and enough traction to handle my swing action without slipping and sliding.  I was concerned, at first, that the sole wouldn't be as gripping as soft spikes but average conditions are without issues.  Very similar to wearing regular gym shoes with that extra hold.
"
19861,"
Loved  price off product
"
19862,"
Loved the shoe and am disappointed that the loop broke rendering the dial system useless.
"
19863,"
Great golf shoe, even better as a working around shoe.  Price could be a little less, but would still buy again based on the quality and comfort of the shoe.
"
19864,"
I was looking for disc golf shoes to play disc golf. These say disc golf shoes… Now I have golf shoes for regular golf that fit too long, feel like skis, and do not work for disc golf. They are golf shoes with a disc lace tightener.
"
19865,"
I usually wear a 10 1/2 but I ordered a 10 so they would fit tighter for disc golf and I still feel like my heel slips thinking a 9 1/2 would have been better.
"
19866,"
I like the shoes. Great grip and comfortable.  A bit off on size. First time buying pumas and they run a little larger than I normally get.
"
19867,"
Probably the most comfortable golf shoes I’ve tried.
"
19868,"
Only played one round so far. It was wet conditions and feet stayed dry and comfortable. Would recommend.
"
19869,"
Easy to put on, comfortable, waterproof enough.....
"
19870,"
Comfy but no good in dew or wet grass
"
19871,"
Great walking shoes for playing golf.
"
19872,"
Great shoes for disc golf
"
19873,"
Love this shoe
"
19874,"
Great shoe. Comfortable and looks great. Disc fastener works well, but occasionally loosens by itself. Grip is not great on a court, but are likely great for golf. SHOES SQUEAK/QUACK WITH EVERY STEP WHEN WALKING ON HARD SURFACE.... even after several months!
"
19875,"
Very comfy and easy to wear, if only they could help me not do the suck at golf…
"
19876,"
This model ran a full size bigger than my normal size. Thankfully the exchange prices was easy. The shoe itself is gorgeous and fits snuggly with the disc lace system and the smaller size.
"
19877,"
Runs a little bit narrow
"
19878,"
This is a nice looking shoe that you could wear anywhere casually not only on the golf course
"
19879,"
used it several times and fits perfect and is very comfortable
"
19880,"
These are very comfortable, wish they had cleats. Fits perfect.
"
19881,"
I like the fit, the disc for tightening the cables is... gimmicky but works all right, and the traction is decent across many surfaces, but the waterproofing is only appropriate for extremely short grass.  I play in the early morning so there tends to be a lot of dew on the ground, if the grass is even just a few inches tall, my feet are soaked, likely due to the mesh on top of shoe.  Once water gets in, the waterproofing helps make sure that it never gets out again.  I've tried contacting Puma but they make it really hard to get any customer service.  The shoes have a 1 year waterproof warranty, and I'd say my feet started getting soaked within a month of using them.
"
19882,"
This shoe is unwearable after 2 rounds of ankle abuse.  My previous pair, the way it was made, the side that goes under your ankle bone was cut lower, made for a great fit.  This pair that area is noticeably higher and cuts into the side of my ankle just below the ankle bone.  If you wear a no shoe sock they are unbearable to play with. Tightened, loosened, tried everything, no good.  only thing that helps a little is a full sock.  Still cuts into the ankle, but it gives a little padding.  Issue might be unique to me, but i doubt it.
"
19883,"
Its bigger than other golf shoes, i wear a 12.5 and got a 12. Very comfy
"
19884,"
Fits well
"
19885,"
I really like the wire laces and they are very comfortable and easy to keep clean
"
19886,"
Perfect golf shoe
"
19887,"
I love them.....
"
19888,"
Excelente!!
"
19889,"
new design much better
"
19890,"
I love they feel. Look good to
"
19891,"
Great fit!
"
19892,"
I ordered a 10.5 size and it came too large. Said it was a 10.5, but my foot was swimming around. The heel cut on the back of the ankle was undercut which made the shoe dig into my Achilles. It was just uncomfortable, and the size was incorrect to what it was labelled
"
19893,"
Good shoe. The problem is their  way heavier than competitors and when your walking 18 holes you don’t need the extra weight. Stay awayTrust me buy a lighter shoe. This is coming from a puma fan.
"
19894,"
Sole delaminated
"
19895,"
The grip on the bottom of the shoe are awful. I’ve slipped a few times after swinging. I will not be buying the show again.
"
19896,"
The disc quit working on one shoe after the 3rd time wearing them so now they are stuck fastened all the way down and can’t get the shoe back on.
"
19897,"
Seem to run around a half size large like everyone says  which I thought would be perfect for me since I often fit true to a 11  but need more room in the toes. Well, it turns out these run a bit narrow in toes despite their overall larger size which kind of defeated the purpose for me. Because ordering a 11 wide or 11.5  with these is out  of the question . But what I did was take out the insert and replace it with a thinner one in the toes which worked perfectly. Same  thing could be done with a thicker insert if there was a little too much room. I mention all this because for me these are excellent golf shoes in looks and how stable they are when playing and addressing the ball. Surprisingly comfortable for me as well once I replaced the insert and have worn them while walking the course and had no foot issues. For me, at some of the prices currently going, I think they are as good a golf shoe as you can get IF you can manage the fitting  which is not a given by any stretch.
"
19898,"
returned because lace in shoe was severed and box was in poor shape
"
19899,"
I was looking for a comfy set of golf shoes as I walk nine at least once a week. I have now played about 6 rounds in these and love them!
"
19900,"
One round—they are comfortable.  A little pricey but they are worth it.
"
19901,"
Very comfortable. The tightening system is great. Turn the disk clockwise to tighten it as to what feels comfortable. Turn 1/4 turn counterclockwise and they completely loosen so you can take them off. The shoe has a unique system to snug your foot in the shoe without being overly tight. I really like mine. I’ve played quite a few rounds of golf in them since March.  Shoe also has plenty of grip when swinging.
"
19902,"
not waterproof.  squeaky.
"
19903,"
Look great, fit fine thanks.
"
19904,"
Waterproof  Easy to wear
"
19905,"
comfort
"
19906,"
Lot of Value for money.....
"
19907,"
Had to exchange them for a smaller size, but they feel great and look sharp
"
19908,"
Nice shoe, looks good and great grip, can't go wrong. Love the dial up feature no laces to get loose.
"
19909,"
Habe zunächst ein Schuh vom Bruderunternehmen gekauft, was sich für mich als ungeeignet erwiesen hat. Daher bin ich jetzt beim zweiten Puma Ignite gelandet und sehr zufrieden. Guter Sommerschuh für trockene Tage.
"
19910,"
I bought these golf shoes as I was looking for a reasonably priced non-lacing shoe. These are really excellent 👍 provide great comfort and fastening system is very secure over 18 holes. Would recommend to anyone
"
19911,"
taille trop grand , produit renvoyé le 20 décembre par colissimo pour remboursement , toujours sur plateforme de la poste et pas de nouvelles !!!!!
"
19912,"
I could walk two or three 18s in these with no pain and no problems. In dry conditions they’re perfect. Wet conditions not perfect, but not bad either (they’re spikeless after all).Bought a second pair
"
19913,"
Had a pair of the original Puma discs, these are just as comfy and easy to use. Worth every cent.
"
19914,"
I have no complaints as dial laces are my favourite golf shoes
"
19915,"
Je les adorents
"
19916,"
Buen productp
"
19917,"
Heel on both shoes failed after 3 months.  My previous footjoys were over 10 years old and still wearable
"
19918,"
Shoes fit great (larger than posted size, you will need 1/2 size smaller), are 100% water proof, feel great, and the lace-less locking system works perfect. Played 5 rounds with them so far.
"
19919,"
What a nice way to tighten your shoes!  Works great.  Shoes are good-looking, comfortable, and easy to put on and tighten.
"
19920,"
Disc to tighten
"
19921,"
Very nice product that fits well and seems very durable. Played in the rain the first time I wore them and they're very waterproof.
"
19922,"
Great golf shoe. I like the boa disc system and walked 18 holes with no pain in my feet. My only gripe is that it runs a bit too large. I am a true size 10 and should have ordered a half size down like the other reviewers said. Otherwise, this is a good looking and very comfortable shoe!
"
19923,"
Love the dial closure - might be a 1/2 size bigger than expected but great looking and stable.
"
19924,"
So far, I wore them for 5 golf holes and practice at the range beforehand. They are comfortable but I did not want to chance walking 18 in a brand new pair. They are very stylish and love the color scheme. They are not as soft as a new pair of Skechers so that’s why I changed them after 5 holes. The stiffness they have will need a little breaking in.
"
19925,"
Have to wear a lift in my right shoe and this shoe is deep enough in the heel that I don’t feel myself walking out of it.Only issue and I still give it 5 stars, due to this rarity. I had read if water gets in the shoe, then your foot will stay wet all round.  Was in a deluge downpour yesterday and that is true.  In fact I felt I’d let the inside of the shoe dry out more today …even after using a shoe dryer and stuffing towels in overnight.  I don’t ever look to play in rain, and this rain was the most I’ve ever been caught in on a course…but zero issue walking on a dewy morning in terms of water getting in….That being said, I ordered another pair that is how much I love these shoes!!
"
19926,"
Buen diseño
"
